density,pop,county,state
17.863595903,32221,Jefferson,Washington
687.05358709,271473,Kitsap,Washington
1065.0027467,2252782,King,Washington
24.068951795,22471,Pacific,Washington
9.8010458574,13724,Pend Oreille,Washington
101.09730097,17582,San Juan,Washington
7.2864564275,12083,Skamania,Washington
23.204230903,50104,Whitman,Washington
58.417117784,250873,Yakima,Washington
44.476761586,77331,Clallam,Washington
96.91166412,110593,Cowlitz,Washington
3.4617223747,7627,Ferry,Washington
11.981493479,22425,Klickitat,Washington
33.58896436,80707,Lewis,Washington
23.871752122,43429,Douglas,Washington
39.475394474,75061,Grays Harbor,Washington
408.32643903,85141,Island,Washington
542.53805418,904980,Pierce,Washington
17.069749783,4488,Wahkiakum,Washington
76.693229865,95222,Franklin,Washington
47.841294958,60760,Walla Walla,Washington
36.474335196,97733,Grant,Washington
108.75731788,229247,Whatcom,Washington
393.99641884,822083,Snohomish,Washington
24.232662101,11568,Grant,West Virginia
36.188205303,23175,Hampshire,West Virginia
34.867616067,12573,Summers,West Virginia
245.96476615,21939,Brooke,West Virginia
26.422882775,8448,Doddridge,West Virginia
33.988583529,34662,Greenbrier,West Virginia
23.657252066,13776,Hardy,West Virginia
181.60788067,56072,Marion,West Virginia
81.947764823,26868,Mineral,West Virginia
55.35760939,23424,Mingo,West Virginia
348.75006828,28810,Hancock,West Virginia
41.110906441,15907,Lewis,West Virginia
99.960274273,30531,Marshall,West Virginia
37.869888577,24496,Nicholas,West Virginia
8.7711776211,8247,Pocahontas,West Virginia
16.320465234,6839,Tucker,West Virginia
33.519079787,8591,Tyler,West Virginia
27.599304137,28695,Randolph,West Virginia
28.306549378,13688,Roane,West Virginia
96.630749722,16695,Taylor,West Virginia
25.035358909,5821,Wirt,West Virginia
227.87494876,83518,Wood,West Virginia
24.881649357,8508,Clay,West Virginia
23.110606566,7823,Gilmer,West Virginia
61.555265792,26516,Mason,West Virginia
293.29254704,105612,Monongalia,West Virginia
28.080152586,13275,Monroe,West Virginia
57.331976996,7460,Pleasants,West Virginia
42.0731367,15065,Wetzel,West Virginia
327.18359953,91945,Cabell,West Virginia
273.03969604,57146,Jefferson,West Virginia
197.5573514,178124,Kanawha,West Virginia
70.562171378,32019,Logan,West Virginia
10.012220055,6969,Pendleton,West Virginia
51.527891925,33432,Preston,West Virginia
161.67008701,67256,Harrison,West Virginia
391.2966157,41411,Ohio,West Virginia
21.137632721,9554,Ritchie,West Virginia
25.457517196,7109,Calhoun,West Virginia
78.071294153,17884,Morgan,West Virginia
46.698195797,20409,Lincoln,West Virginia
121.18616658,73361,Raleigh,West Virginia
27.327303933,13957,Braxton,West Virginia
163.30210871,56450,Putnam,West Virginia
48.205754071,16441,Barbour,West Virginia
42.782731993,21457,Boone,West Virginia
33.03730782,17624,McDowell,West Virginia
77.868567064,39402,Wayne,West Virginia
13.616300202,34914,Lincoln,Nebraska
15.961657454,7755,Merrick,Nebraska
12.469282269,7148,Pierce,Nebraska
0.5641847968,1166,Sioux,Nebraska
13.139109944,6459,Burt,Nebraska
47.094049154,26248,Cass,Nebraska
15.505024462,8846,Cuming,Nebraska
11.837592757,5636,Dixon,Nebraska
1.8408607909,1693,Dundy,Nebraska
0.8019369864,623,Grant,Nebraska
4.1347027685,2356,Greeley,Nebraska
112.28771136,61353,Hall,Nebraska
1.2930155474,922,Hayes,Nebraska
26.007704072,16012,Otoe,Nebraska
14.956643484,10724,Red Willow,Nebraska
11.350329765,8402,Cedar,Nebraska
6.1504484647,8589,Dawes,Nebraska
13.48410132,5071,Johnson,Nebraska
7.4480483993,8910,Cheyenne,Nebraska
23.290165082,23595,Dawson,Nebraska
3.4584500432,1969,Garfield,Nebraska
0.5751044011,494,McPherson,Nebraska
7.968788082,3519,Nance,Nebraska
6.0615950811,2613,Pawnee,Nebraska
13.844441815,5920,Stanton,Nebraska
7.3189816923,4158,Valley,Nebraska
1.3613051506,783,Wheeler,Nebraska
5.0315934926,24909,Churchill,Nevada
68.907305178,48905,Douglas,Nevada
1.0023106655,5532,Lander,Nevada
1.1140398122,6725,Pershing,Nevada
0.2437261341,873,Esmeralda,Nevada
0.4859079236,2029,Eureka,Nevada
1.7458110839,16831,Humboldt,Nevada
1.2004236421,4505,Mineral,Nevada
1.0780196709,9580,White Pine,Nevada
3.0732329381,52778,Elko,Nevada
0.487427051,5183,Lincoln,Nevada
2.5587515174,46523,Nye,Nevada
15.619160642,4123,Storey,Nevada
74.652791386,471519,Washoe,Nevada
287.22956575,2266715,Clark,Nevada
386.53062391,55916,Carson,Nevada
28.737262348,57510,Lyon,Nevada
107.66103741,76085,Cheshire,New Hampshire
162.28312683,151391,Merrimack,New Hampshire
52.607970005,89886,Grafton,New Hampshire
445.46308918,309769,Rockingham,New Hampshire
152.5541781,61303,Belknap,New Hampshire
80.265104847,43146,Sullivan,New Hampshire
475.76907022,417025,Hills,New Hampshire
355.49211654,130633,Strafford,New Hampshire
17.588023557,31563,Coos,New Hampshire
52.486314757,48910,Carroll,New Hampshire
1321.6980276,618795,Monmouth,New Jersey
1637.0943852,367430,Mercer,New Jersey
270.81851695,140488,Sussex,New Jersey
309.34872587,149527,Cumberland,New Jersey
1089.6673742,328934,Somerset,New Jersey
6336.819561,798975,Essex,New Jersey
966.33708117,607186,Ocean,New Jersey
474.6408252,263670,Atlantic,New Jersey
905.76706199,291636,Gloucester,New Jersey
2668.2428893,825062,Middlesex,New Jersey
187.98501269,62385,Salem,New Jersey
2697.8238848,501826,Passaic,New Jersey
365.9844659,92039,Cape May,New Jersey
2288.1000494,506471,Camden,New Jersey
4004.5571387,932202,Bergen,New Jersey
5413.6512622,556341,Union,New Jersey
295.24915188,105267,Warren,New Jersey
14555.938983,672391,Hudson,New Jersey
290.70129177,124371,Hunterdon,New Jersey
557.17907045,445349,Burlington,New Jersey
1067.0035589,491845,Morris,New Jersey
1.2208692786,4198,Hidalgo,New Mexico
7.995808434,23709,Luna,New Mexico
13.093231143,71367,McKinley,New Mexico
39.553538726,146748,Sandoval,New Mexico
14.858065134,32723,Taos,New Mexico
6.8156016916,26998,Grant,New Mexico
34.829990059,48954,Curry,New Mexico
3.1775091604,11941,Colfax,New Mexico
13.997886242,58460,Eddy,New Mexico
0.2940514703,625,Harding,New Mexico
2.3470481057,4521,Mora,New Mexico
40.831293511,20394,Wyoming,West Virginia
61.538550758,28576,Jackson,West Virginia
140.24667584,58758,Mercer,West Virginia
68.17101728,24176,Upshur,West Virginia
14.660226516,8114,Webster,West Virginia
371.07751753,119171,Berkeley,West Virginia
64.09488481,42406,Fayette,West Virginia
7.5005740842,5687,Iron,Wisconsin
28.746068785,34774,Clark,Wisconsin
125.52631489,90687,St. Croix,Wisconsin
38.025778939,37930,Oconto,Wisconsin
31.401931117,27593,Lincoln,Wisconsin
68.196382028,50990,Waupaca,Wisconsin
52.42390731,45244,Barron,Wisconsin
